0              1205.0
1              1205.0
2              1205.0
3              1205.0
4              1205.0
5	       726.0
6	       726.0
7	       726.0
8	       726.0
9	       726.0
10	       561.0
11	       561.0
12	       561.0
13	       561.0
14	       561.0
15	       2650.0
16	       1205.0
17	       1205.0
18	       1205.0
19	       1205.0
20	       1205.0
21	        726.0
22	        726.0
23	        726.0
24	        726.0
25	        726.0
26	        561.0
27	        561.0
28	        561.0
29	        561.0
30	        561.0
31	       2650.0
32	       1205.0
33	       1205.0
34	       1205.0
35	       1205.0
36	       1205.0
37	        726.0
38	        726.0
39	        726.0
40	        726.0
41	        726.0
42	        561.0
43	        561.0
44	        561.0
45	        561.0
46	        561.0
47	       2650.0
48	       1205.0
49	       1205.0
50	       1205.0
51	       1205.0
52	       1205.0
53	       561.0
54	       561.0
55	       561.0
56	       561.0
57	       561.0
58	       726.0
59	       726.0
60	       726.0
61	       726.0
62	       726.0
63	       2650.0
64	       1386.0
65	       1386.0
66	       1386.0
67	       1386.0
68	       1386.0
69	       1122.0
70	       1122.0
71	       1122.0
72	       1122.0
73	       1122.0
74	       1122.0
75	       1122.0
76	       1122.0
77	       1122.0
78	       1122.0
79	       1122.0
80	       1122.0
81	       1122.0
82	       1122.0
83	       1122.0
84	       1386.0
85	       1386.0
86	       1386.0
87	       1386.0
88	       1386.0
96	       360.0
97	       360.0
98	       360.0
99	       360.0
100	       360.0
101	       360.0	      
102	       360.0
103	       360.0
